FID,OBJECTID,SHAPE,LBEZEICHNUNG,LTYP,LTYPTXT,SE_ANNO_CAD_DATA
OEFFLINIENOGD.271808,271808,"LINESTRING (16.33881824519142 48.1760900374497, 16.337345410817637 48.175787217626265, 16.336914922233927 48.17568079679024, 16.336021970686982 48.17549995910075, 16.335645788225232 48.175402560992104)",WLB,6,Badner Bahn,
OEFFLINIENOGD.271809,271809,"LINESTRING (16.346208343075386 48.18096992680607, 16.34186636012615 48.1798076841604, 16.338060885923056 48.17879530509062)",WLB,6,Badner Bahn,
OEFFLINIENOGD.271810,271810,"LINESTRING (16.335645788225232 48.175402560992104, 16.335698756517406 48.17543780403669, 16.335742158062313 48.17548396575532, 16.3357699073164 48.17553203128435, 16.335786983229685 48.175585807501825, 16.33578627154041 48.17564529439119, 16.33577132876303 48.17569240739438, 16.33513111928369 48.17695757053373, 16.33511507139595 48.177014281047875, 16.335129300913803 48.177048783849315, 16.335150646319153 48.17707852747192, 16.335186223223523 48.17711302954706, 16.336155689575712 48.17772455860326, 16.33747206599455 48.17856331506528, 16.3376214948624 48.17865492313623, 16.337810060416867 48.178729874018686, 16.338060885923056 48.17879530509062)",WLB,6,Badner Bahn,
OEFFLINIENOGD.271811,271811,"LINESTRING (16.338060885923056 48.17879530509062, 16.337968381840366 48.178759615029286, 16.337908913823462 48.17872491544559, 16.337861645901725 48.178684663205466, 16.337834960674524 48.178637073935974, 16.337848427134016 48.178584526979215, 16.33852789776113 48.177204420578626, 16.339004575518853 48.17626927601736, 16.339001014368783 48.17620978922135, 16.33896187767426 48.17615030330554, 16.338929857125844 48.17612317858707, 16.338876491401283 48.17610295400799, 16.33881824519142 48.1760900374497)",WLB,6,Badner Bahn,
OEFFLINIENOGD.271812,271812,"LINESTRING (16.36881714067682 48.200341731434165, 16.36846434811867 48.19966844309541, 16.368314769649018 48.199523336973805, 16.368122499312797 48.19940679695829, 16.368037036916956 48.19934019613301, 16.367955093032105 48.199209348403855, 16.367748345343227 48.19869781990433, 16.367691267813402 48.19848606378598, 16.367651971474476 48.19824812794539, 16.36762693775411 48.1980530184615, 16.367537539351474 48.19736537778697, 16.367498189392304 48.19703702205365, 16.36746249783443 48.1968704689302, 16.367405403242785 48.19662539985423, 16.367341196428434 48.19638747060384, 16.367216287644474 48.19581881247901, 16.36716624763384 48.19546428550774, 16.36715889227119 48.195071674995894, 16.367208324634777 48.19442206724547, 16.36724364048245 48.193969959323624, 16.36720786421224 48.19366063832636, 16.36714355433882 48.193244248747625, 16.367068557029903 48.192806447266165, 16.366850741980308 48.19158583901947, 16.366765124061533 48.19123370072594, 16.366675995136298 48.190960085119436, 16.366526262745396 48.190503266934044, 16.366433616839938 48.19029627761448, 16.366340992658355 48.190124980611486, 16.366219909908803 48.189967966863385, 16.36595284774665 48.18967536195603, 16.365461460283367 48.189135349307286, 16.36516236904208 48.188821335061, 16.3649807511892 48.188581055042725, 16.364763512614836 48.1882717783876, 16.364432273240112 48.18771982313847, 16.3640618759518 48.18712504603426, 16.363766323804228 48.18673964323541, 16.363474354868988 48.186392310841384, 16.36296875369419 48.18577852703125, 16.36237418084777 48.18511003281524, 16.36233500548445 48.18504103739476, 16.362356318360124 48.184969647662726, 16.363320106574523 48.18404618947222, 16.36442964835984 48.182951364773125, 16.364468739695855 48.18286569434513, 16.364404642199652 48.182770531759594, 16.364230258135223 48.182699189613814, 16.362949105733804 48.18221884271353, 16.361849459047022 48.18178602977728, 16.361354780187614 48.181548192961294, 16.360881472169353 48.18134604006832, 16.360127061978076 48.18108683791852, 16.359194722216916 48.180737246573955, 16.358564877814068 48.180525597840806, 16.358116518691634 48.180380536780824, 16.357205593941053 48.18012848319377, 16.35656868076665 48.180000106921135, 16.35595669477184 48.17991693196125, 16.355227312365276 48.17986470743388, 16.354369867287968 48.17986484665997, 16.353427047243304 48.17990544317031, 16.351722868293752 48.18003655780026, 16.350940156809695 48.1801080453191, 16.350321107091904 48.18018664627748, 16.34974120080461 48.18029855122252, 16.349438807279824 48.18040328349993, 16.348816278110267 48.180824520981794, 16.348599293020765 48.18102441998354, 16.348432108693974 48.18119100130814, 16.34825425198094 48.18135996222846, 16.34810483568896 48.18144325998969, 16.34795896531795 48.18146944907834, 16.34782020064642 48.181455186466685, 16.34753554119683 48.18135765704765, 16.347258000726967 48.18126726418558, 16.346884392486505 48.18116022325586, 16.346450297803546 48.18104366898468, 16.346208343075386 48.18096992680607)",WLB,6,Badner Bahn,
OEFFLINIENOGD.271813,271813,"LINESTRING (16.36881714067682 48.200341731434165, 16.369095131778327 48.200912723190164, 16.36918429087688 48.20118633643785, 16.369590603338203 48.20202854824617, 16.369630963572643 48.202068413372764, 16.369697425276552 48.20208800372499, 16.36978794746447 48.20209121032644, 16.36988606517664 48.202076051351206, 16.37002510985907 48.20207031772894, 16.370231082766942 48.202075374868286, 16.370312234580332 48.20207178135691, 16.37041793720458 48.202053190553904, 16.370974185895268 48.20192810106199, 16.371137518669567 48.20186451967161, 16.371220660994826 48.20181153139541, 16.371249047280994 48.20168303195191, 16.37111717873026 48.20143084891393, 16.37108862415836 48.201314263960256, 16.371077875596104 48.20120957073134, 16.370828391899472 48.20072185612268, 16.370721555218942 48.200636227782894, 16.370632532688308 48.20057676790049, 16.370461654952837 48.200529229567216, 16.370223160389553 48.20049598780626, 16.36976400418832 48.20048422589862, 16.3693333138773 48.200460556793, 16.369052112049754 48.200432084146584, 16.36892039111778 48.200389291520665, 16.36881714067682 48.200341731434165)",WLB,6,Badner Bahn,
OEFFLINIENOGD.271814,271814,"LINESTRING (16.330128723572724 48.17131645562637, 16.329914185551086 48.17095737229765, 16.328722803249754 48.16890381295412, 16.328623235154883 48.168696791934444, 16.32854146106588 48.1684350442766, 16.328491700925408 48.16817091905863, 16.32843128085434 48.16784016725263, 16.328409978716596 48.16757366425218, 16.328388692204136 48.16720484374116, 16.328381614367753 48.16696213699566, 16.328385221374692 48.1666313893955, 16.328406612347756 48.16630302349567, 16.32840665988283 48.16598655245954, 16.32843870225001 48.16577953994576, 16.32849563588173 48.165627256820514, 16.328566793725198 48.16549163196666, 16.328673523076453 48.1653298344168, 16.328801593477905 48.16516327887868, 16.32898657155266 48.16500862396588, 16.32925336014457 48.16480638479363, 16.32966597886506 48.16459701442027, 16.330060807207666 48.16440429808999, 16.330480535466492 48.16416399273553, 16.331145695225377 48.163730957961306, 16.33189976338559 48.16326223094251, 16.332269680585597 48.16302667551242, 16.33263959467005 48.162767323532634, 16.33311265273432 48.162424692527416, 16.333464776905046 48.162134404067785, 16.333834683721772 48.16178938798693, 16.3342223684277 48.16140391915792, 16.334556699691305 48.161018448275954, 16.334823450677302 48.160673426585376, 16.335115093591224 48.16027367757887, 16.335584561533743 48.159495589814036, 16.33689686285843 48.157370711460004, 16.33801702960204 48.15545045695983, 16.338443735478315 48.15468425569731, 16.338589522024314 48.15436302173858, 16.33867841012175 48.15407034349329, 16.338703290149933 48.15381573887208, 16.338678383888855 48.15353971868849, 16.338617919428643 48.15328987427792, 16.338454329403106 48.153018617090765, 16.33806670757565 48.15255224484903, 16.337604417641003 48.15209301112936, 16.337149248466098 48.151714678357166, 16.336921668514716 48.151576669723774, 16.336672753413453 48.151469595023805, 16.33633138583475 48.15135775981994, 16.335926015292163 48.151241165141926, 16.335673547662296 48.151148364244975, 16.335399747978318 48.15099369678011, 16.33515084099917 48.15077478246548, 16.334400583695103 48.149951471963284, 16.333501017923176 48.14896634723393, 16.332718817876007 48.14805022544331, 16.33184065958599 48.14696277016788, 16.33084878272411 48.14567066794357, 16.33000270509497 48.14457368201189, 16.32913533853788 48.1434148223868, 16.32858435921924 48.142739013086825, 16.328360417626616 48.14245821851767, 16.328236020222196 48.142217881452794, 16.32813295998122 48.141939474291775, 16.32805479080367 48.14164917150814, 16.328008623101407 48.14133031621716, 16.32798022406698 48.14105905303193, 16.3279731395072 48.14090200568107, 16.32799449306209 48.14075923814738, 16.328044295729566 48.14055936499059, 16.328108322610333 48.140347594628324, 16.328151001827592 48.14023338235165, 16.328151023595705 48.140092992023504, 16.328133268012564 48.139957359724484, 16.328083517618257 48.13982886408609, 16.327976892444195 48.13965515404303, 16.3273939843195 48.138910330508224, 16.326512546747093 48.13778238232794, 16.325730662465325 48.13676627190423, 16.32525089369472 48.13609521063205, 16.324600578872463 48.13511241771419, 16.324170607836045 48.13443659835021, 16.323573635071487 48.13352994786631, 16.32312237583632 48.132808911652575, 16.322859450527556 48.13235915798332, 16.32244021867672 48.13157387601278, 16.322031646084657 48.130852840347146, 16.3217616541975 48.13031980029782, 16.32097300431938 48.128839653617845, 16.320571583770906 48.12811147534018, 16.3199677029841 48.12700016775574, 16.319338999179102 48.12580081186234, 16.319122342919158 48.12536057350522, 16.318962520779156 48.125022661463674, 16.3188346981958 48.12465382047005, 16.318607508174402 48.12386141418036)",WLB,6,Badner Bahn,
OEFFLINIENOGD.271815,271815,"LINESTRING (16.311467668532984 48.21135948787589, 16.309147426262687 48.20454018546108, 16.308876669639318 48.20352587717135, 16.308797518455616 48.20307179210194, 16.30872717090958 48.202653092000695, 16.30879797023836 48.202222630850265, 16.30908930467729 48.201774531127015, 16.309963036910418 48.200907881192066, 16.311393942699947 48.199796587693875, 16.3119008417575 48.19940289543753, 16.31308001491371 48.198525114934974, 16.31369145521101 48.19825042241791, 16.314366098522903 48.19804620422203, 16.315167628185776 48.19796992056516, 16.316309603444946 48.19789887692315, 16.317543827271486 48.1978245678478, 16.320080055064437 48.19764223705853, 16.322188447828022 48.197470803342526, 16.323650623305078 48.19733273813904, 16.3241740297475 48.19731085027428, 16.324561437761858 48.19730018796572, 16.325042999674523 48.19732190912576, 16.32574435221081 48.197387175605456, 16.326236402394898 48.1974364120185, 16.326822737696837 48.19755049523601, 16.327314651332358 48.1976267067315, 16.32778585083039 48.19770291461918, 16.32818360792821 48.19776283776239, 16.328497699864286 48.19779856219757, 16.32851868420081 48.19780081189824, 16.32921992384655 48.1978467019183, 16.33001113230548 48.1978163963924, 16.330815314455055 48.19772972091262, 16.331554647449614 48.197582336492545, 16.33242368738633 48.19736124300105, 16.333383518196573 48.19700573670769, 16.33451195203083 48.19655917283846, 16.335523632988963 48.19626435011175, 16.336277103488168 48.1960580278444, 16.336888264610973 48.19591781545451, 16.33793974692524 48.19577965947916, 16.338260375646442 48.19573752875738, 16.338865544506902 48.19574953362734, 16.33942146280437 48.19581361568184, 16.339890144675195 48.19587769703284, 16.341866511713874 48.19626163843667, 16.344222039790218 48.19670216549051, 16.345980213433805 48.19708037383509, 16.347421881308478 48.19739041804837, 16.34843795172078 48.19768574160262, 16.349325712599 48.19801443586387, 16.350107608595845 48.198305814241856, 16.35011231727945 48.198307792181176, 16.351104782149644 48.19872747142569, 16.35148794115541 48.19888588168087, 16.35227510479974 48.19917250513496, 16.35260216550914 48.1992915921159, 16.352905681148815 48.19940252473861, 16.353418538028542 48.19958573086881, 16.353973619084886 48.19980970527809, 16.354303543234977 48.20003016587687, 16.354612551600297 48.20031363277275, 16.355036802665843 48.200744088694215, 16.35541394040683 48.20117805109481, 16.355820168698852 48.20171581880183, 16.35629028977824 48.202361407152786, 16.35683884607368 48.20327746332833, 16.357224142869192 48.20389688634659, 16.357420038658688 48.20415860888968, 16.357674671006247 48.20441595658255, 16.359526008635676 48.20599603439451, 16.360459283470988 48.20683884381817, 16.360959651519106 48.20729835613238, 16.361344819913743 48.20779772702473, 16.36184316044623 48.20819869359721, 16.362511328053515 48.20859205134595, 16.363202068941646 48.20883405029329, 16.36385879828141 48.208977676468855, 16.365412430359054 48.209344772173864, 16.36664512385143 48.209655523429596, 16.367065197102193 48.20970985431325, 16.367565707681607 48.20967956429744, 16.36800173248119 48.20962277079591, 16.368377138898683 48.20948098246655, 16.368655640924807 48.209339221261686, 16.37048477540391 48.20828071887313, 16.370906508139516 48.2081457441456, 16.371635933668326 48.2080301453792, 16.377495013788348 48.20698053128554, 16.378344423088482 48.206847724505415, 16.379354226956973 48.20680744457562, 16.381474662310815 48.20673867684777, 16.38243424159368 48.2066609832518, 16.383472387570322 48.206433850306084, 16.386173787943715 48.205624587722326, 16.38718633155537 48.2052673246581, 16.387807262140882 48.20487890773699, 16.388825040676515 48.20412486647952, 16.39015748291649 48.2032643489337, 16.39225381565471 48.20208525779043, 16.39493238035377 48.20053759677579, 16.398727216399948 48.19823856922805, 16.399882978407295 48.19755862731349, 16.40042397543395 48.197240344954146, 16.401412107858132 48.19680136775762, 16.40531172404998 48.19501095153432, 16.40674872504068 48.19441402015977, 16.408057827709936 48.19381502934169, 16.4086581321342 48.19366136416397, 16.409387923496727 48.19352965584879, 16.410369173364423 48.19336906986157, 16.4110989249191 48.19321684250906, 16.411557609525325 48.19304586150175, 16.412073586286535 48.19275684046294, 16.41414053934003 48.191425118000645, 16.416660817363013 48.18985457909793, 16.41682393615489 48.18975367287475, 16.41698439638987 48.18965087880628, 16.417142147006206 48.189546227516594, 16.417297143669707 48.18943975052442, 16.417449335325603 48.18933148115192, 16.41772675141429 48.189123935304465, 16.41776399151249 48.18909510258554, 16.417800473681176 48.189065838716836, 16.417836185833405 48.18903615449947, 16.417871118567945 48.189006058034856, 16.41790525979373 48.188975557426176, 16.417938600115416 48.188944664372094, 16.417971128785652 48.188913386075455, 16.41800283506289 48.18888173333657, 16.418033712237595 48.188849715154156, 16.41806374687708 48.18881734143097, 16.418092933618365 48.18878462206408, 16.418121261720234 48.188751567853714, 16.418148721782178 48.18871818690111, 16.418175307100796 48.18868449180225, 16.418201009620695 48.18865049065735, 16.41822581994729 48.18861619516499, 16.418249731373134 48.18858161522311, 16.41827273719225 48.18854676162895, 16.418294828007426 48.1885116442823, 16.418316001149066 48.18847627487688, 16.418336245876585 48.18844066421274, 16.41835555951763 48.18840482218485, 16.418373934023037 48.18836876049069, 16.418391365375623 48.188332489026116, 16.418407846872718 48.18829602038698, 16.418423373153747 48.18825936536936, 16.418437941546603 48.188222533868114, 16.418451545348766 48.188185538479004, 16.418464183234537 48.1881483899952, 16.418475848498627 48.18811109921374, 16.418486538473392 48.188073678727356, 16.418496250486903 48.188036138430824, 16.418504980526667 48.18799849091783, 16.418512727267178 48.18796074698143, 16.4185194880409 48.18792291921427, 16.418525260176036 48.187885017511086, 16.418530041005106 48.18784705446442, 16.41853560871479 48.18778651149358, 16.41854012144017 48.187682832241215, 16.418541926797417 48.18757911625667, 16.41854102485334 48.187475395016364, 16.418537417021156 48.187371700894964, 16.41853110336479 48.18726806356985, 16.418522085298818 48.18716451631467, 16.41851036557831 48.18706108970387, 16.418495949649454 48.186957815209105, 16.41847884027001 48.186854725203105, 16.41845904288593 48.186751851157204, 16.41842558358538 48.18660316805324, 16.418412994247646 48.18655615763124, 16.418399178652333 48.18650930097036, 16.4183841435515 48.186462613353875, 16.418367891658207 48.186416107369865, 16.41835042972583 48.186369799200925, 16.418331760465858 48.186323700535745, 16.418311891976398 48.18627782755581, 16.418290828316568 48.18623219374755, 16.418268577579997 48.18618681259436, 16.41824514517052 48.18614169758158, 16.41822054052787 48.18609686309097, 16.418194767710865 48.1860523226088, 16.4181678375025 48.18600808961645, 16.418139756651083 48.185964177598166, 16.418110534594586 48.1859206000363, 16.41808017942596 48.18587737041407, 16.41804870058154 48.185834501314474, 16.418016107498918 48.18579200621972, 16.417982410960473 48.185749898611085, 16.417947620400703 48.185708190172114, 16.417911746600357 48.18566689348474, 16.41784285432028 48.185591932421204, 16.41746712406866 48.185143013584, 16.41647527604244 48.183957922130766, 16.416418915506746 48.18389273969602, 16.416360861700724 48.18382822481512, 16.416301133486563 48.18376439725755, 16.416239749726138 48.183701276792775, 16.41617672793479 48.1836388822918, 16.416112086972376 48.183577232624685, 16.416045847043176 48.18351634666049, 16.415978028351184 48.18345624326835, 16.415908652443417 48.18339694041701, 16.415837738176975 48.18333845607712, 16.415732256804077 48.183255166142345, 16.415664144366445 48.183204658574084, 16.415594723479 48.18315495316894, 16.415524015682465 48.18310606519823, 16.41545204386343 48.183058010831715, 16.415378829557874 48.18301080264272, 16.415304392962224 48.18296445680285, 16.415228759647633 48.18291898678207, 16.415151951150627 48.18287440605311, 16.415073990353545 48.182830728987156, 16.414994902825327 48.18278796815488, 16.41491471010163 48.18274613702912, 16.414833439095542 48.182705248179765, 16.414751114028988 48.18266531327915, 16.414667757781572 48.18262634579934, 16.414583398608993 48.182588357410076, 16.414498060730953 48.18255135888453, 16.414411771057825 48.182515361893444, 16.414298592379733 48.18247022888355, 16.414242918658235 48.182447943653294, 16.414187835701032 48.18242501137939, 16.414133359658905 48.18240144014567, 16.414079506679766 48.1823772362373, 16.414026294258967 48.18235240773727, 16.4139737372008 48.182326961831, 16.413921851655648 48.1823009066024, 16.41387065511711 48.18227424923515, 16.41382016239191 48.18224699871347, 16.41377038828529 48.182219163122134, 16.41372134760236 48.182190750546035, 16.413673056494254 48.1821617699685, 16.413625528421093 48.18213222947529, 16.413578779536532 48.18210213984843, 16.413532821954302 48.18207150827522, 16.413487671827795 48.18204034553776, 16.413443341273293 48.18200866062202, 16.413399843751687 48.18197646251316, 16.41335719407123 48.18194376199415, 16.41331540434921 48.181910568950286, 16.413274486702775 48.18187689326703, 16.413234454593727 48.18184274482882, 16.413195320139 48.18180813352107, 16.413157094114705 48.18177307192798, 16.413119789980954 48.18173756903478, 16.413083417167556 48.1817016365272, 16.413047987790968 48.18166528429065, 16.413013512625533 48.181628524010044, 16.412959466631943 48.18156784842663, 16.412561229201884 48.18107833269731, 16.41206582947505 48.1804392480419, 16.411965308148055 48.18030360154163, 16.411868343755184 48.180166801469106, 16.411774963233487 48.1800288918825, 16.411685196201805 48.17988991234138, 16.411599070938443 48.17974990600325, 16.411516611686615 48.17960891602799, 16.411437845376632 48.17946698467408, 16.411362794906378 48.17932415600108, 16.411280254451384 48.17915705485012, 16.4112579781448 48.17911084492116, 16.411236910376296 48.17906438148717, 16.411217057887328 48.17901767893363, 16.411198427420565 48.178970752545304, 16.411181024369956 48.17892361490983, 16.41116485547937 48.17887628221124, 16.411149922109953 48.17882876793906, 16.411136232347427 48.178781086477734, 16.4111237888988 48.17873325221514, 16.411112594471042 48.178685279539124, 16.41110265446301 48.178637184634475, 16.41109397023429 48.178588980091135, 16.41108654583899 48.178540682094635, 16.411080383983922 48.17849230503271, 16.411075483340532 48.17844386239629, 16.411071849307508 48.17839537036993, 16.411069480557618 48.17834684334383, 16.411068378454196 48.17829829660573, 16.41106854301333 48.178249743645544, 16.41106997425501 48.17820120065118, 16.411072672195317 48.17815268111242, 16.41107663685425 48.17810420121706, 16.411081865558614 48.17805577445663, 16.41108835698247 48.17800741612041, 16.411096108455272 48.1779591414984, 16.41110511864853 48.1779109640812, 16.41111538489175 48.17786289915878, 16.411126904513168 48.17781496112177, 16.411139672153084 48.177767165261834, 16.411153686484454 48.17771952596871, 16.41118336064228 48.17763051101274, 16.411200097085704 48.17758514793054, 16.411218014390283 48.17753998732208, 16.411237108537534 48.177495041780084, 16.41125737147914 48.177450326597764, 16.411278799198154 48.17740585526698, 16.411301382297776 48.17736164038389, 16.411325116761205 48.177317695440316, 16.411349994539115 48.177274034830006, 16.411376007579616 48.17723067114812, 16.411403147830953 48.177187616989755, 16.411431407244056 48.17714488674859, 16.411460777767342 48.177102493019675, 16.411491250004723 48.17706044839888, 16.411522814561486 48.17701876638142, 16.411555460695798 48.17697745866473, 16.41158918170111 48.17693653784281, 16.41162396414918 48.1768960174135, 16.411659798643132 48.17685590907325, 16.411696674442908 48.17681622541871, 16.41173457946129 48.176776977248764, 16.411773504304374 48.176738178058514, 16.411813434197313 48.17669983954791, 16.41185435839785 48.17666197251488, 16.411896264820616 48.176624588657624, 16.411939140037045 48.176587700574466, 16.41198297195937 48.17655131816494, 16.412027745812022 48.176515452229665, 16.412073448166833 48.17648011536694, 16.412120066935124 48.176445316576924, 16.412167585998425 48.176411067560494, 16.412215990580407 48.17637737821888, 16.412265267250785 48.17634425935181, 16.412315401233514 48.176311720860525, 16.41237270643323 48.176275881557615, 16.414796675261428 48.17471873518243, 16.415328860997494 48.17437684211609, 16.415494400286168 48.17427050209763, 16.415657137912344 48.17416224551155, 16.41581702552335 48.1740521056783, 16.415974014767972 48.17394011591836, 16.416128057297882 48.17382631045159, 16.41640855198904 48.173608337369274, 16.416532502626193 48.17350792176682, 16.416653812562448 48.17340607345121, 16.41677244824089 48.173302824830095, 16.416888369381628 48.17319820741645, 16.417001543772905 48.173092252717495, 16.417111935170407 48.172984992243336, 16.41721951136719 48.172876459299715, 16.41732423881277 48.17276668719329, 16.417426085302157 48.172655709229645, 16.41752502132172 48.172543559611775, 16.417663208701065 48.172378972853636, 16.418853694874223 48.17107895339589, 16.419919628010476 48.17019288293958, 16.420909064196135 48.16950336660051)",U3,4,U-Bahn,
OEFFLINIENOGD.271816,271816,"LINESTRING (16.508155060734314 48.225705549279574, 16.50980512552342 48.229248455404715, 16.510504989686694 48.23084162875609, 16.510684636774275 48.231305349812885, 16.510739676180723 48.23178115693769, 16.510687792912183 48.232233331300755, 16.510511376373262 48.232721386696326, 16.510210181855573 48.233173938608616, 16.509801851883903 48.23354337108494, 16.509357659676432 48.233841472725835, 16.508842151093436 48.23411588561578, 16.508237395442737 48.23433094259632, 16.5074188574845 48.23452252089775, 16.50677800033723 48.23459485719136, 16.50602997710442 48.23457217076795, 16.50122099765776 48.2343412309034, 16.492176569255893 48.233873212550634, 16.490537906555048 48.233765969661704, 16.488357662573076 48.2335823276542, 16.487064516504244 48.23348409568436, 16.484200583965283 48.23333791391472, 16.483623488341063 48.2332958256075, 16.48316392530813 48.23325358416638, 16.482682912239273 48.23318281487278, 16.482276610746403 48.2330833952701, 16.481870210814836 48.232948282207275, 16.481527878488794 48.23279881002714, 16.48120687816359 48.23263503323051, 16.480907207211985 48.23245695199818, 16.480618143060074 48.232250303289504, 16.48036105481909 48.232015060378025, 16.48015740994106 48.231786888740935, 16.479953666857043 48.23152302470091, 16.479760391023664 48.23118062500435, 16.478932382542013 48.22926857684535, 16.47765291841089 48.22633629278129, 16.477416669966335 48.22589400485339, 16.477094862139143 48.22541612914254, 16.476333658146793 48.22442482705072, 16.47531517105188 48.223091190624444, 16.474867560261522 48.222515531925254)",U2,4,U-Bahn,
OEFFLINIENOGD.271817,271817,"LINESTRING (16.260849937586364 48.19695346759706, 16.261646727981105 48.19675532415552, 16.262404532129533 48.19654170699918, 16.26276191788763 48.19640606128117, 16.263131696499755 48.19621689545507, 16.263495452743907 48.19592890780433, 16.263793615178653 48.19556775818917, 16.263996355537678 48.19522980536519, 16.264332600961165 48.194684639592964, 16.26447650931297 48.19445319565615, 16.264628778364514 48.194283875757286, 16.26485706839535 48.194108955052364, 16.265093764875118 48.19396227517016, 16.265338874557095 48.19383818830807, 16.26580361437302 48.193691647160065, 16.266411941543364 48.193539543542926, 16.26729486465521 48.193311364823764, 16.268004550004996 48.193148019700914, 16.26879023122336 48.192996009350914, 16.269542057218892 48.19289479754799, 16.270285389998918 48.19282745981194, 16.271408826594747 48.19273209580418, 16.273913351587247 48.19248782627737, 16.275019938916515 48.19234441730739, 16.276205910956648 48.192239539176946, 16.27742727221496 48.19212543172304, 16.278214894632402 48.19208488947197, 16.27909335547254 48.192003444278505, 16.281110771593003 48.191810179710124, 16.283469472308756 48.191534608977825, 16.284839528200223 48.19128742850038, 16.285948385646428 48.19112786417744, 16.28698467075202 48.19097295892282, 16.28829258280665 48.19082890191219, 16.289779264853244 48.19060665828303, 16.29105650225466 48.190405897284684, 16.29289901054002 48.19005838637642, 16.295803554837946 48.18941235702363, 16.296808691315988 48.189208080022105, 16.300740238154113 48.18840774872602, 16.30386694024641 48.18773390512377, 16.303895355263016 48.18772778239529)",U4,4,U-Bahn,
OEFFLINIENOGD.271818,271818,"LINESTRING (16.303895355263016 48.18772778239529, 16.304571765172827 48.18758202488568, 16.30482300975865 48.18755484403183, 16.305031079294384 48.187546649202545, 16.30536730486924 48.187533407177206, 16.307523452290432 48.18753396398144, 16.309072536732444 48.18748514596115, 16.312777938045286 48.18734458451529, 16.313426882251083 48.18727411748434, 16.315405366265555 48.186920966444205, 16.316609208646593 48.18670268519608, 16.317260447683868 48.18652861710351, 16.31853471535412 48.186166775088815)",U4,4,U-Bahn,
OEFFLINIENOGD.271819,271819,"LINESTRING (16.377891772899932 48.175022540704745, 16.378376989278596 48.17382537494912, 16.378876612216242 48.17258754563509, 16.3793771892578 48.17138572260667, 16.38006946309487 48.169753139445255, 16.380843313802927 48.16789922852073, 16.38166682368779 48.165952492199175, 16.383162712458475 48.16229296473824, 16.3835383178591 48.161372171545345, 16.38371555851166 48.16073558712449, 16.383679310662977 48.159997963050586, 16.38355428030211 48.159397195953325, 16.383233377109327 48.158499073739364, 16.38237797920546 48.15642332318724, 16.382288699632845 48.15600694941264, 16.382254291405417 48.15530977452148, 16.38229674350454 48.15444816479248, 16.382449789508502 48.152620659847464)",U1,4,U-Bahn,
OEFFLINIENOGD.271820,271820,"LINESTRING (16.382584414399084 48.1481233789581, 16.38255764681927 48.149984146711994, 16.382484804479635 48.15201625676969, 16.382449789508502 48.152620659847464)",U1,4,U-Bahn,
OEFFLINIENOGD.271821,271821,"LINESTRING (16.390761334452602 48.14455471750894, 16.385127307353976 48.1459403333285, 16.38445191444873 48.146107183568304, 16.384056512079827 48.14626796435939, 16.383643388789526 48.14649418738649, 16.38331917846673 48.14675011605014, 16.3830349955557 48.147038745146304, 16.382826420108163 48.14738682912299, 16.382688893111983 48.14766647449454, 16.382609089150684 48.14788661008183, 16.382584414399084 48.1481233789581)",U1,4,U-Bahn,
OEFFLINIENOGD.271822,271822,"LINESTRING (16.390761334452602 48.14455471750894, 16.404508892446923 48.141206693741054)",U1,4,U-Bahn,
OEFFLINIENOGD.271765,271765,"LINESTRING (16.426191102552252 48.26808866347283, 16.42633956112164 48.26831216390115, 16.426656016942175 48.26991089558661, 16.42682719472899 48.269967867043476, 16.42716906963039 48.26981055447037, 16.4275396011547 48.26973411844901, 16.43151559705661 48.26946570805378)",28A,2,Autobus,
OEFFLINIENOGD.271766,271766,"LINESTRING (16.426191102552252 48.26808866347283, 16.42497790911482 48.26872252455821, 16.42258465538378 48.26997614313992)","28A, 31A",2,Autobus,
OEFFLINIENOGD.271767,271767,"LINESTRING (16.423853775351738 48.2632595556502, 16.418143723215312 48.26648994164524, 16.42258465538378 48.26997614313992)",28A,2,Autobus,
OEFFLINIENOGD.271768,271768,"LINESTRING (16.31805260331115 48.209015029118156, 16.318084138664844 48.20901020921085, 16.32018813049358 48.20868572383236, 16.324381789427 48.20804612749328)",48A,2,Autobus,
OEFFLINIENOGD.271769,271769,"LINESTRING (16.323522297558494 48.20556691083764, 16.32241779335348 48.20572866872142, 16.318257224950408 48.2063646033307, 16.317203207005072 48.20653301888575)",48A,2,Autobus,
OEFFLINIENOGD.271770,271770,"LINESTRING (16.32633514723401 48.19780743465506, 16.325661527935058 48.19761853170024, 16.325430183844688 48.1976363565763)",12A,2,Autobus,
OEFFLINIENOGD.271771,271771,"LINESTRING (16.327111627838264 48.19656260212977, 16.328962661197185 48.197083405866955)",12A,2,Autobus,
OEFFLINIENOGD.271762,271762,"LINESTRING (16.32182680590517 48.26357494318852, 16.321882712138912 48.26384415686323, 16.321896943163416 48.26392791526663, 16.321857020247432 48.26396407799981, 16.321794295134577 48.26397739442303, 16.321457646429813 48.2639826003576)","38A, 43A",2,Autobus,
OEFFLINIENOGD.271763,271763,"LINESTRING (16.423853775351738 48.2632595556502, 16.423720562148922 48.263052666715076, 16.4236345478588 48.262767200166444, 16.42363401989386 48.26245787358271, 16.423697627876017 48.26214373899262)",28A,2,Autobus,
